Company Code,Profit Center,Profit Center: Short Text,Document Date,Posting Date,Entry Date,Posting period,Assignment,G/L Account,G/L Account: Short Text,Document Type,Document Number,Company Code Currency Key,Posting Key,Company Code Currency Value,Text,Offsetting Account,User Name,Processed Database Rows
1200,10120007,Al Khor 12 VILLAS,31/01/2025,31/01/2025,29/01/2025,1,PROV-ELECT CA,500049,Provisions,SB,1200004301,QAR,50,"-1,000.00",PROV FOR Electricity (Common Area) JAN 2025,200007,SIRAJ.M,1
1200,10120003,FOXHILL D16 - (AJR3),31/12/2024,31/01/2025,05/02/2025,1,PROV-TELEPHONE,500049,Provisions,SB,1200004346,QAR,40,"2,050.00",Telephone expenses Provision For Month DEC-24 REV,200004,SIRAJ.M,1
1200,10120008,AL BARAHA TOWER,31/01/2025,31/01/2025,29/01/2025,1,PROV-CHILL WAT CA,500049,Provisions,SB,1200004275,QAR,50,"-70,000.00",PROV FOR Chilled Water Common Area JAN 2025,200006,SIRAJ.M,1
1200,10120001,FOXHILL D23 - (AJR1),31/12/2024,31/01/2025,05/02/2025,1,PROV-TELEPHONE,500049,Provisions,SB,1200004332,QAR,40,"1,450.00",Telephone expenses Provision For Month DEC-24 REV,200004,SIRAJ.M,1
1200,10120002,FOXHILL N27 - (AJR2),31/12/2024,31/01/2025,05/02/2025,1,PROV-TELEPHONE,500049,Provisions,SB,1200004341,QAR,40,"2,050.00",Telephone expenses Provision For Month DEC-24 REV,200004,SIRAJ.M,1
1200,10120004,FOXHILL D19 - (AJR4),31/01/2025,31/01/2025,29/01/2025,1,PROV-ELECT CA,500049,Provisions,SB,1200004300,QAR,50,"-4,000.00",PROV FOR Electricity (Common Area) JAN 2025,200007,SIRAJ.M,1
1200,10120003,FOXHILL D16 - (AJR3),31/01/2025,31/01/2025,29/01/2025,1,PROV-CHILL WAT CA,500049,Provisions,SB,1200004264,QAR,50,"-4,500.00",PROV FOR Chilled Water Common Area JAN 2025,200006,SIRAJ.M,1
1200,10120005,AL JASRA TWIN TOWER,31/01/2025,31/01/2025,29/01/2025,1,PROV-Fixed Maint,500049,Provisions,SB,1200004241,QAR,50,"-79,803.00",PROV FOR Fixed maint contract JAN 2025,200009,SIRAJ.M,1
1200,10120003,FOXHILL D16 - (AJR3),31/01/2025,31/01/2025,29/01/2025,1,PROV-Fixed Maint,500049,Provisions,SB,1200004239,QAR,50,"-21,975.00",PROV FOR Fixed maint contract JAN 2025,200009,SIRAJ.M,1
1200,10120004,FOXHILL D19 - (AJR4),31/12/2024,31/01/2025,05/02/2025,1,PROV-TELEPHONE,500049,Provisions,SB,1200004353,QAR,40,"2,050.00",Telephone expenses Provision For Month DEC-24 REV,200004,SIRAJ.M,1
